datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 09:30:00-05:00,99952.79998779297,103233.50006103516,-0.00047200012207027076
2020-02-05 09:30:00-05:00,99910.80017089844,103233.50006103516,-0.0004201965017454068
2020-02-06 09:30:00-05:00,99894.40002441406,103233.50006103516,-0.00016414788447616235
2020-02-07 09:30:00-05:00,99905.29998779297,103233.50006103516,0.00010911485905351626
2020-02-08 09:30:00-05:00,99905.29998779297,103233.50006103516,0.0
2020-02-10 09:30:00-05:00,99921.19995117188,103233.50006103516,0.00015915034918911886
2020-02-11 09:30:00-05:00,99822.60009765625,106545.80017089844,-0.000986776115216914
2020-02-12 09:30:00-05:00,99809.20043945312,106545.80017089844,-0.00013423471428331002
2020-02-13 09:30:00-05:00,99828.60046386719,106545.80017089844,0.00019437110335163155
2020-02-14 09:30:00-05:00,99779.09973144531,109904.40002441406,-0.0004958572211957168
2020-02-15 09:30:00-05:00,99779.09973144531,109904.40002441406,0.0
2020-02-18 09:30:00-05:00,99809.09973144531,109904.40002441406,0.00030066416795437867
2020-02-19 09:30:00-05:00,99770.6997680664,109904.40002441406,-0.00038473409220429744
2020-02-20 09:30:00-05:00,99772.20031738281,109904.40002441406,1.5039979872844e-05
2020-02-21 09:30:00-05:00,99840.29998779297,109904.40002441406,0.0006825515543760208
2020-02-22 09:30:00-05:00,99840.29998779297,109904.40002441406,0.0
2020-02-24 09:30:00-05:00,100210.19958496094,109904.40002441406,0.0037049127177422037
2020-02-25 09:30:00-05:00,100186.19995117188,109904.40002441406,-0.00023949292475677897
2020-02-26 09:30:00-05:00,100479.00024414062,109904.40002441406,0.002922561122304712
2020-02-27 09:30:00-05:00,100740.60028076172,109904.40002441406,0.0026035294537711806
2020-02-28 09:30:00-05:00,101243.39965820312,109904.40002441406,0.0049910301908080434
2020-02-29 09:30:00-05:00,101243.39965820312,109904.40002441406,0.0
2020-03-02 09:30:00-05:00,100958.10028076172,109904.40002441406,-0.0028179553275036184
2020-03-03 09:30:00-05:00,100619.40002441406,109904.40002441406,-0.003354859643810104
2020-03-04 09:30:00-05:00,100720.80017089844,109904.40002441406,0.0010077594028563563
2020-03-05 09:30:00-05:00,100754.99969482422,109904.40002441406,0.00033954777829170446
2020-03-06 09:30:00-05:00,101109.90020751953,109904.40002441406,0.003522410935142384
2020-03-07 09:30:00-05:00,101109.90020751953,112835.8999633789,0.0
